womparl,lnmmrt,country,year,quota,lngdp
6.0999999,2.079442,Australia,1990,0,10.26056
6.8000002,2.079442,Australia,1991,0,10.24405
6.8000002,2.079442,Australia,1992,0,10.23627
8.8000002,2.079442,Australia,1993,0,10.26631
8.8000002,2.079442,Australia,1994,0,10.29544
8.8000002,2.079442,Australia,1995,0,10.32151
15.5,2.079442,Australia,1996,0,10.3471
15.5,2.1972251,Australia,1997,0,10.37463
15.5,2.079442,Australia,1998,0,10.40765
22.4,2.1972251,Australia,1999,0,10.44508
23,2.1972251,Australia,2000,0,10.47111
25.299999,2.079442,Australia,2001,0,10.47674
25.299999,2.079442,Australia,2002,0,10.50234
25.299999,2.079442,Australia,2003,0,10.52023
24.700001,1.94591,Australia,2004,0,10.54925
24.700001,1.94591,Australia,2005,0,10.56759
24.700001,1.94591,Australia,2006,0,10.58218
26.700001,1.94591,Australia,2007,0,10.61275
26.700001,1.94591,Australia,2008,0,10.62902
27.299999,1.94591,Australia,2009,0,10.62637
24.700001,1.791759,Australia,2010,0,10.63067
24.700001,1.94591,Australia,2011,0,10.64023
24.700001,1.791759,Australia,2012,0,10.65807
26,1.791759,Australia,2013,0,10.66586
26,1.791759,Australia,2014,0,10.67626
26.66667,1.791759,Australia,2015,0,10.68555
11.5,2.079442,Austria,1990,0,10.35399
19.700001,2.079442,Austria,1991,0,10.37784
19.700001,2.079442,Austria,1992,0,10.38756
19.700001,1.94591,Austria,1993,0,10.38457
21.9,1.94591,Austria,1994,0,10.40445
26.200001,1.791759,Austria,1995,0,10.42925
26.200001,1.791759,Austria,1996,0,10.4516
26.200001,1.6094379,Austria,1997,0,10.47228
26.200001,1.6094379,Austria,1998,0,10.50616
26.799999,1.6094379,Austria,1999,0,10.53949
26.799999,1.6094379,Austria,2000,0,10.57021
26.799999,1.6094379,Austria,2001,0,10.5798
33.900002,1.6094379,Austria,2002,0,10.5913
33.900002,1.6094379,Austria,2003,0,10.59396
33.900002,1.386294,Austria,2004,0,10.61446
33.900002,1.6094379,Austria,2005,0,10.62883
32.200001,1.386294,Austria,2006,0,10.65684
32.799999,1.386294,Austria,2007,0,10.68917
27.299999,1.386294,Austria,2008,0,10.7014
27.9,1.386294,Austria,2009,0,10.66004
27.9,1.386294,Austria,2010,0,10.67674
27.9,1.386294,Austria,2011,0,10.70218
27.9,1.386294,Austria,2012,0,10.7044
33.299999,1.386294,Austria,2013,0,10.69882
32.200001,1.386294,Austria,2014,0,10.69976
30.601089,1.386294,Austria,2015,0,10.69995
4.0999999,3.8286409,"Bahamas, The",1990,0,10.09746
4.0999999,3.8286409,"Bahamas, The",1991,0,10.03627
8.1999998,3.806663,"Bahamas, The",1992,0,9.9782286
8.1999998,3.806663,"Bahamas, The",1993,0,9.962574
8.1999998,3.850147,"Bahamas, The",1994,0,9.976285
8.1999998,3.89182,"Bahamas, The",1995,0,10.00384
8.1999998,3.9512441,"Bahamas, The",1996,0,10.03229
15,3.9889841,"Bahamas, The",1997,0,10.04156
15,4.0073328,"Bahamas, The",1998,0,10.07694
15,4.0604429,"Bahamas, The",1999,0,10.13391
15,4.1108742,"Bahamas, The",2000,0,10.15996
15,4.1588831,"Bahamas, The",2001,0,10.16843
20,4.2046928,"Bahamas, The",2002,0,10.17544
20,4.2626801,"Bahamas, The",2003,0,10.14163
20,4.2626801,"Bahamas, The",2004,0,10.12917
20,4.3040652,"Bahamas, The",2005,0,10.14193
20,4.356709,"Bahamas, The",2006,0,10.147
12.2,4.356709,"Bahamas, The",2007,0,10.14219
12.2,4.4067192,"Bahamas, The",2008,0,10.1003
12.2,4.3820271,"Bahamas, The",2009,0,10.04003
12.2,4.4426508,"Bahamas, The",2010,0,10.03868
12.2,4.4543471,"Bahamas, The",2011,0,10.02901
13.2,4.4067192,"Bahamas, The",2012,0,10.04453
13.2,4.3944492,"Bahamas, The",2013,0,10.02496
13.2,4.4188399,"Bahamas, The",2014,0,9.9994678
13.1579,4.3820271,"Bahamas, The",2015,0,9.9561329
3.7,4.0604429,Barbados,1990,0,9.5653782
3.5999999,3.9512441,Barbados,1991,0,9.5221424
3.5999999,3.9512441,Barbados,1992,0,9.45998
3.5999999,3.9512441,Barbados,1993,0,9.4645033
10.7,4.025352,Barbados,1994,0,9.480792
10.7,3.89182,Barbados,1995,0,9.4972534
10.7,3.7841899,Barbados,1996,0,9.5324469
10.7,3.806663,Barbados,1997,0,9.5749941
10.7,3.850147,Barbados,1998,0,9.6079588
10.7,3.9120231,Barbados,1999,0,9.6075916
10.7,3.871201,Barbados,2000,0,9.6477251
10.7,3.8286409,Barbados,2001,0,9.6206675
10.7,3.8286409,Barbados,2002,0,9.6256208
13.3,3.8286409,Barbados,2003,0,9.6442318
13.3,3.850147,Barbados,2004,0,9.6551466
13.3,3.688879,Barbados,2005,0,9.6906748
13.3,3.583519,Barbados,2006,0,9.7420607
13.3,3.6375861,Barbados,2007,0,9.755518
10,3.583519,Barbados,2008,0,9.7552462
10,3.526361,Barbados,2009,0,9.7098551
10,3.4965079,Barbados,2010,0,9.7085619
10,3.4339869,Barbados,2011,0,9.7094221
10,3.367296,Barbados,2012,0,9.7087297
16.700001,3.3322051,Barbados,2013,0,9.7055445
16.700001,3.3322051,Barbados,2014,0,9.7026281
16.66667,3.2958369,Barbados,2015,0,9.7086983
8.5,2.1972251,Belgium,1990,0,10.33032
9.3999996,2.1972251,Belgium,1991,0,10.34477
9.3999996,2.1972251,Belgium,1992,0,10.3559
9.3999996,2.1972251,Belgium,1993,0,10.34233
9.3999996,2.1972251,Belgium,1994,0,10.37101
12.7,2.3025849,Belgium,1995,0,10.39248
12.7,2.3025849,Belgium,1996,0,10.40633
12.7,2.1972251,Belgium,1997,0,10.44035
12.7,2.1972251,Belgium,1998,0,10.45777
23.299999,2.1972251,Belgium,1999,0,10.49049
23.299999,2.1972251,Belgium,2000,0,10.52376
23.299999,2.1972251,Belgium,2001,0,10.5284
23.299999,2.079442,Belgium,2002,0,10.54157
35.299999,2.079442,Belgium,2003,0,10.5451
34.700001,2.079442,Belgium,2004,0,10.57647
34.700001,2.079442,Belgium,2005,0,10.5917
34.700001,2.079442,Belgium,2006,0,10.60985
35.299999,2.079442,Belgium,2007,0,10.63642
35.299999,2.079442,Belgium,2008,0,10.63632
38,2.079442,Belgium,2009,0,10.60548
39.299999,2.079442,Belgium,2010,0,10.62342
38,2.079442,Belgium,2011,0,10.62738
38,1.94591,Belgium,2012,0,10.62246
38,1.94591,Belgium,2013,0,10.61957
39.299999,1.94591,Belgium,2014,0,10.63065
39.333328,1.94591,Belgium,2015,0,10.63881
0,3.9889841,Belize,1990,0,8.5496311
0,3.9889841,Belize,1991,0,8.6305733
0,4.0073328,Belize,1992,0,8.727663
3.4000001,3.9889841,Belize,1993,0,8.7717028
3.4000001,4.0073328,Belize,1994,0,8.7529535
3.4000001,4.0073328,Belize,1995,0,8.7334852
3.4000001,3.9702921,Belize,1996,0,8.7157507
3.4000001,3.9702921,Belize,1997,0,8.7141495
3.4000001,3.9318261,Belize,1998,0,8.7124624
6.9000001,3.9512441,Belize,1999,0,8.7593651
6.9000001,3.9702921,Belize,2000,0,8.8478346
6.9000001,3.9702921,Belize,2001,0,8.8662357
6.9000001,3.9702921,Belize,2002,0,8.8882256
3.3,3.9120231,Belize,2003,0,8.9513302
6.6999998,3.9120231,Belize,2004,0,8.9712572
6.6999998,3.9512441,Belize,2005,0,8.9710159
6.6999998,3.9120231,Belize,2006,0,8.9897938
3.3,3.8286409,Belize,2007,0,8.9747705
0,3.583519,Belize,2008,0,8.9808807
0,3.6635621,Belize,2009,0,8.962944
0,3.610918,Belize,2010,0,8.9714813
0,3.4965079,Belize,2011,0,8.9689941
3.0999999,3.4657359,Belize,2012,0,8.9839745
3.0999999,3.367296,Belize,2013,0,8.9750576
3.0999999,3.3322051,Belize,2014,0,8.9878826
3.125,3.3322051,Belize,2015,0,8.9948339
2.9000001,6.3561082,Benin,1990,0,7.2880239
6.3000002,6.3153582,Benin,1991,0,7.2956419
6.3000002,6.2915692,Benin,1992,0,7.29
6.3000002,6.2859979,Benin,1993,0,7.3117142
6.3000002,6.2934189,Benin,1994,0,7.2974558
7.1999998,6.3099179,Benin,1995,0,7.323215
7.1999998,6.329721,Benin,1996,0,7.334096
7.1999998,6.3473892,Benin,1997,0,7.3595748
7.1999998,6.357842,Benin,1998,0,7.368835
6,6.3561082,Benin,1999,0,7.3913541
6,6.3491392,Benin,2000,0,7.4184608
6,6.329721,Benin,2001,0,7.440156
6,6.3080978,Benin,2002,0,7.4551229
6,6.287858,Benin,2003,0,7.4585872
7.1999998,6.259582,Benin,2004,0,7.4718771
7.1999998,6.2185998,Benin,2005,0,7.4593239
7.1999998,6.2025361,Benin,2006,0,7.4690599
10.8,6.1758671,Benin,2007,0,7.498661
10.8,6.1506028,Benin,2008,0,7.5181999
10.8,6.1246829,Benin,2009,0,7.5130339
10.8,6.1003189,Benin,2010,0,7.5059199
8.3999996,6.077642,Benin,2011,0,7.5070829
8.3999996,6.0614572,Benin,2012,0,7.526094
8.3999996,6.0450048,Benin,2013,0,7.5676541
8.3999996,6.025866,Benin,2014,0,7.6014671
7.2289162,6.0038872,Benin,2015,0,7.5944648
9.1999998,6.0520892,Bolivia,1990,0,8.2180443
9.1999998,6.0450048,Bolivia,1991,0,8.2496881
9.1999998,6.0330858,Bolivia,1992,0,8.2463093
10.8,6.0137148,Bolivia,1993,0,8.2683849
10.8,5.9939609,Bolivia,1994,0,8.2942581
10.8,5.9661469,Bolivia,1995,0,8.3202457
10.8,5.9269261,Bolivia,1996,0,8.3432112
11.5,5.891644,Bolivia,1997,0,8.3718805
11.5,5.857933,Bolivia,1998,0,8.4013996
11.5,5.8348112,Bolivia,1999,0,8.3863525
11.5,5.811141,Bolivia,2000,0,8.3921413
11.5,5.7960582,Bolivia,2001,0,8.3902044
18.5,5.7776518,Bolivia,2002,0,8.39645
18.5,5.7589021,Bolivia,2003,0,8.4052124
19.200001,5.7430029,Bolivia,2004,0,8.4284
16.9,5.7203121,Bolivia,2005,0,8.454236
16.9,5.697093,Bolivia,2006,0,8.4839315
16.9,5.662961,Bolivia,2007,0,8.5116768
16.9,5.6240182,Bolivia,2008,0,8.5547066
22.299999,5.5834961,Bolivia,2009,0,8.57131
25.4,5.53339,Bolivia,2010,0,8.5955362
25.4,5.484797,Bolivia,2011,0,8.6302557
25.4,5.4380789,Bolivia,2012,0,8.6643944
25.4,5.402678,Bolivia,2013,0,8.7145176
53.099998,5.3706379,Bolivia,2014,0,8.7522383
53.07692,5.3278761,Bolivia,2015,0,8.7843952
5,5.493062,Botswana,1990,0,9.0009079
5,5.4510379,Botswana,1991,0,9.0450611
5,5.4249501,Botswana,1992,0,9.0465879
5,5.4205351,Botswana,1993,0,9.0392256
8.5,5.4380789,Botswana,1994,0,9.0498028
8.5,5.47227,Botswana,1995,0,9.0942278
8.5,5.53339,Botswana,1996,0,9.12885
8.5,5.5984221,Botswana,1997,0,9.1853418
8.5,5.6664271,Botswana,1998,0,9.1731892
17,5.7268481,Botswana,1999,0,9.2475224
17,5.7397928,Botswana,2000,0,9.2505894
17,5.793014,Botswana,2001,0,9.2378216
17,5.8230462,Botswana,2002,0,9.2825918
17,5.811141,Botswana,2003,0,9.3142052
11.1,5.7397928,Botswana,2004,0,9.3271484
11.1,5.6204009,Botswana,2005,0,9.3573132
11.1,5.4764628,Botswana,2006,0,9.4224577
11.1,5.3706379,Botswana,2007,0,9.4860897
11.1,5.3375378,Botswana,2008,0,9.5301266
7.9000001,5.2364421,Botswana,2009,0,9.4334364
7.9000001,5.129899,Botswana,2010,0,9.4980869
7.9000001,5.0689039,Botswana,2011,0,9.5388718
7.9000001,5.0304379,Botswana,2012,0,9.564126
7.9000001,4.934474,Botswana,2013,0,9.6529903
9.5,4.89784,Botswana,2014,0,9.6749964
9.5238094,4.8598118,Botswana,2015,0,9.6392918
5.3000002,4.6443911,Brazil,1990,0,9.2442236
5.5999999,4.6051698,Brazil,1991,0,9.2418098
5.5999999,4.5538769,Brazil,1992,0,9.2202463
5.5999999,4.532599,Brazil,1993,0,9.249362
6.5999999,4.4773369,Brazil,1994,0,9.2850952
6.5999999,4.4308171,Brazil,1995,0,9.3122177
6.5999999,4.4543471,Brazil,1996,0,9.318059
6.5999999,4.4998102,Brazil,1997,0,9.3356123
6.5999999,4.5432949,Brazil,1998,0,9.3234425
5.6999998,4.3944492,Brazil,1999,0,9.3130255
5.6999998,4.1896548,Brazil,2000,0,9.3387976
6.8000002,4.1108742,Brazil,2001,0,9.3386469
6.1999998,4.1271338,Brazil,2002,0,9.3553085
8.6000004,4.1431351,Brazil,2003,0,9.3537979
8.6000004,4.1896548,Brazil,2004,0,9.3975105
8.6000004,4.2046928,Brazil,2005,0,9.417304
8.8000002,4.2195082,Brazil,2006,0,9.4450121
9,4.2046928,Brazil,2007,0,9.4933395
9,4.1896548,Brazil,2008,0,9.5328598
8.8000002,4.174387,Brazil,2009,0,9.5217152
8.6000004,4.174387,Brazil,2010,0,9.5845957
8.6000004,4.077538,Brazil,2011,0,9.6140108
8.6000004,4.0943451,Brazil,2012,0,9.6236506
8.6000004,3.871201,Brazil,2013,0,9.6440859
9.8999996,3.8286409,Brazil,2014,0,9.6402378
9.9415207,3.7841899,Brazil,2015,0,9.5932884
21,3.2188759,Bulgaria,1990,0,9.1374407
12.9,3.135494,Bulgaria,1991,0,9.0591106
12.9,3.2188759,Bulgaria,1992,0,8.9943457
12.9,3.135494,Bulgaria,1993,0,8.9874096
13.3,3.2188759,Bulgaria,1994,0,9.0088224
13.3,3.1780541,Bulgaria,1995,0,9.0414772
13.3,3.1780541,Bulgaria,1996,0,9.0625076
10.8,3.258096,Bulgaria,1997,0,9.0575342
10.8,3.135494,Bulgaria,1998,0,9.098609
10.8,3.135494,Bulgaria,1999,0,9.0464802
10.8,3.044523,Bulgaria,2000,0,9.1003141
26.200001,2.9957321,Bulgaria,2001,0,9.1618223
26.200001,2.890372,Bulgaria,2002,0,9.2419701
26.200001,2.8332131,Bulgaria,2003,0,9.2994184
26.299999,2.772589,Bulgaria,2004,0,9.3704634
22.1,2.70805,Bulgaria,2005,0,9.4478569
22.1,2.6390569,Bulgaria,2006,0,9.5208006
21.700001,2.564949,Bulgaria,2007,0,9.6021042
21.700001,2.4849069,Bulgaria,2008,0,9.6448545
20.799999,2.3978951,Bulgaria,2009,0,9.6147776
20.799999,2.3978951,Bulgaria,2010,0,9.6345139
20.799999,2.3978951,Bulgaria,2011,0,9.6598949
22.9,2.3025849,Bulgaria,2012,0,9.6659966
24.6,2.3978951,Bulgaria,2013,0,9.6801777
20,2.3978951,Bulgaria,2014,0,9.6990623
20.41667,2.3978951,Bulgaria,2015,0,9.7409782
21.4,6.9275579,Cambodia,1990,0,6.9226751
21.4,6.861712,Cambodia,1991,0,6.9226751
21.4,6.7979398,Cambodia,1992,0,6.9226751
5.8000002,6.7357798,Cambodia,1993,0,6.9226751
5.8000002,6.6707659,Cambodia,1994,0,6.9755359
5.8000002,6.5930452,Cambodia,1995,0,7.0057158
5.8000002,6.5250301,Cambodia,1996,0,7.0282202
5.8000002,6.45047,Cambodia,1997,0,7.0545568
5.8000002,6.3664699,Cambodia,1998,0,7.0770621
8.1999998,6.2766428,Cambodia,1999,0,7.1652322
7.4000001,6.182085,Cambodia,2000,0,7.226913
7.4000001,6.089045,Cambodia,2001,0,7.284874
7.4000001,5.9964519,Cambodia,2002,0,7.3300371
9.8000002,5.9053621,Cambodia,2003,0,7.3945341
9.8000002,5.831882,Cambodia,2004,0,7.4767089
9.8000002,5.752573,Cambodia,2005,0,7.5854292
9.8000002,5.6489739,Cambodia,2006,0,7.6724472
19.5,5.5490761,Cambodia,2007,0,7.7547932
16.299999,5.46806,Cambodia,2008,0,7.8047729
21.1,5.3798971,Cambodia,2009,0,7.7906451
21.1,5.3082681,Cambodia,2010,0,7.8331752
20.299999,5.2364421,Cambodia,2011,0,7.8855958
20.299999,5.1817842,Cambodia,2012,0,7.9398742
20.299999,5.1532922,Cambodia,2013,0,7.9950252
20.299999,5.1179938,Cambodia,2014,0,8.0469713
20.325199,5.0814042,Cambodia,2015,0,8.0989323
14.4,6.590301,Cameroon,1990,0,8.013175
14.4,6.5957799,Cameroon,1991,0,7.9452791
12.2,6.6066499,Cameroon,1992,0,7.8853259
12.2,6.6106958,Cameroon,1993,0,7.7748718
12.2,6.6187391,Cameroon,1994,0,7.7687669
12.2,6.6187391,Cameroon,1995,0,7.7764301
12.2,6.6240649,Cameroon,1996,0,7.7933402
5.5999999,6.6214061,Cameroon,1997,0,7.8190989
5.5999999,6.6187391,Cameroon,1998,0,7.8381691
5.5999999,6.6200728,Cameroon,1999,0,7.8551502
5.5999999,6.6200728,Cameroon,2000,0,7.8647161
5.5999999,6.6214061,Cameroon,2001,0,7.8817658
8.8999996,6.6093488,Cameroon,2002,0,7.8972559
8.8999996,6.5957799,Cameroon,2003,0,7.9155979
8.8999996,6.5834088,Cameroon,2004,0,7.9546018
8.8999996,6.5916739,Cameroon,2005,0,7.9477458
8.8999996,6.5861721,Cameroon,2006,0,7.954627
13.9,6.5652652,Cameroon,2007,0,7.9751611
13.9,6.5610309,Cameroon,2008,0,7.9820218
13.9,6.5453501,Cameroon,2009,0,7.9763541
13.9,6.5161929,Cameroon,2010,0,7.9826989
13.9,6.4800439,Cameroon,2011,0,7.995996
13.9,6.4488888,Cameroon,2012,0,8.0134125
31.1,6.4281049,Cameroon,2013,0,8.0392122
31.1,6.411819,Cameroon,2014,0,8.0697689
31.111111,6.3902411,Cameroon,2015,0,8.0983582
13.3,1.94591,Canada,1990,0,10.35136
13.3,2.079442,Canada,1991,0,10.31627
13.3,2.079442,Canada,1992,0,10.31279
18,2.079442,Canada,1993,0,10.32805
18,2.079442,Canada,1994,0,10.36239
18,2.1972251,Canada,1995,0,10.38054
18,2.1972251,Canada,1996,0,10.38575
20.6,2.1972251,Canada,1997,0,10.41708
20.6,2.1972251,Canada,1998,0,10.44651
20.6,2.1972251,Canada,1999,0,10.48858
20.6,2.1972251,Canada,2000,0,10.53028
20.6,2.1972251,Canada,2001,0,10.53774
20.6,2.1972251,Canada,2002,0,10.55842
20.6,2.1972251,Canada,2003,0,10.56632
21.1,2.1972251,Canada,2004,0,10.58669
21.1,2.1972251,Canada,2005,0,10.60835
20.799999,2.1972251,Canada,2006,0,10.62628
21.299999,2.1972251,Canada,2007,0,10.63699
22.1,2.1972251,Canada,2008,0,10.63613
22.1,2.079442,Canada,2009,0,10.59474
22.1,2.079442,Canada,2010,0,10.61397
24.799999,2.079442,Canada,2011,0,10.63502
24.700001,2.079442,Canada,2012,0,10.64052
24.700001,1.94591,Canada,2013,0,10.65347
25.1,1.94591,Canada,2014,0,10.67079
25.328951,1.94591,Canada,2015,0,10.67243
12,,Cape Verde,1990,0,
7.5999999,,Cape Verde,1991,0,
7.5999999,,Cape Verde,1992,0,
7.5999999,,Cape Verde,1993,0,
7.5999999,,Cape Verde,1994,0,
11.1,,Cape Verde,1995,0,
11.1,,Cape Verde,1996,0,
11.1,,Cape Verde,1997,0,
11.1,,Cape Verde,1998,0,
11.1,,Cape Verde,1999,0,
11.1,,Cape Verde,2000,0,
11.1,,Cape Verde,2001,0,
11.1,,Cape Verde,2002,0,
11.1,,Cape Verde,2003,0,
11.1,,Cape Verde,2004,0,
11.1,,Cape Verde,2005,0,
15.3,,Cape Verde,2006,0,
18.1,,Cape Verde,2007,0,
18.1,,Cape Verde,2008,0,
18.1,,Cape Verde,2009,0,
18.1,,Cape Verde,2010,0,
20.799999,,Cape Verde,2011,0,
20.799999,,Cape Verde,2012,0,
20.799999,,Cape Verde,2013,0,
20.799999,,Cape Verde,2014,0,
20.83333,,Cape Verde,2015,0,
5.8000002,4.0430508,Chile,1990,0,9.1040735
5.8000002,3.9512441,Chile,1991,0,9.1631079
5.8000002,3.871201,Chile,1992,0,9.2532072
7.5,3.806663,Chile,1993,0,9.3016529
7.5,3.7612,Chile,1994,0,9.3358078
7.5,3.713572,Chile,1995,0,9.4069147
7.5,3.6635621,Chile,1996,0,9.4587536
7.5,3.583519,Chile,1997,0,9.5169058
10.8,3.526361,Chile,1998,0,9.5461998
10.8,3.526361,Chile,1999,0,9.5294418
10.8,3.4339869,Chile,2000,0,9.5690928
10.8,3.4657359,Chile,2001,0,9.5897217
12.5,3.367296,Chile,2002,0,9.6088171
12.5,3.367296,Chile,2003,0,9.6377172
12.5,3.367296,Chile,2004,0,9.6963644
15,3.2958369,Chile,2005,0,9.7414141
15,3.3322051,Chile,2006,0,9.7920303
15,3.367296,Chile,2007,0,9.8294411
15,3.3322051,Chile,2008,0,9.853857
14.2,3.2958369,Chile,2009,0,9.8280878
14.2,3.258096,Chile,2010,0,9.8751936
14.2,3.2188759,Chile,2011,0,9.9251366
14.2,3.1780541,Chile,2012,0,9.9678812
14.2,3.135494,Chile,2013,0,9.9987211
15.8,3.135494,Chile,2014,0,10.00904
